Saturday,Dinner,Lemon Rice with Mixed Vegetable Stir Fry,North Indian,Veg,Trimester 1
Saturday,Dinner,Chapati with Paneer Bhurji & Carrot Beans Sabzi,North Indian,Veg,Trimester 1
Saturday,Dinner,Grilled Fish with Steamed Rice & Spinach Sabzi,North Indian,Non-Veg,Trimester 1
Sunday,Lunch,Steamed Moong Dal Khichdi with Carrot-Peas Sabzi,North Indian,Veg,Trimester 1
Sunday,Lunch,Chapati with Paneer Masala & Cabbage Sabzi,North Indian,Veg,Trimester 1
Sunday,Lunch,Chicken Curry with Steamed Rice,North Indian,Non-Veg,Trimester 1
Monday,Lunch,Mixed Dal Khichdi with Spinach Sabzi,North Indian,Veg,Trimester 1
Monday,Lunch,Chapati with Lauki Kofta & Tomato Sabzi,North Indian,Veg,Trimester 1
Monday,Lunch,Grilled Fish with Jeera Rice & French Beans,North Indian,Non-Veg,Trimester 1
Tuesday,Lunch,Vegetable Khichdi with Cucumber-Tomato Salad,North Indian,Veg,Trimester 1
Tuesday,Lunch,Chapati with Rajma Curry & Ridge Gourd Sabzi,North Indian,Veg,Trimester 1
Tuesday,Lunch,Chicken Soup with Steamed Rice,North Indian,Non-Veg,Trimester 1
Wednesday,Lunch,Lemon Rice with Mixed Vegetable Stir Fry,North Indian,Veg,Trimester 1
Wednesday,Lunch,Chapati with Paneer Bhurji & Snake Gourd Sabzi,North Indian,Veg,Trimester 1
Wednesday,Lunch,Grilled Chicken with Rice & Spinach Sabzi,North Indian,Non-Veg,Trimester 1
Thursday,Lunch,Steamed Rice with Masoor Dal & Carrot-Peas Sabzi,North Indian,Veg,Trimester 1
Thursday,Lunch,Chapati with Mushroom Masala & Bottle Gourd Sabzi,North Indian,Veg,Trimester 1
Thursday,Lunch,Grilled Fish with Lemon Rice & Cabbage Sabzi,North Indian,Non-Veg,Trimester 1
Friday,Lunch,Vegetable Pulao with Cucumber Raita,North Indian,Veg,Trimester 1
Friday,Lunch,Chapati with Paneer Tikka Masala & Mixed Veg Stir Fry,North Indian,Veg,Trimester 1
Friday,Lunch,Chicken Curry with Steamed Rice & French Beans,North Indian,Non-Veg,Trimester 1
Saturday,Lunch,Steamed Moong Dal Khichdi with Spinach Sabzi,North Indian,Veg,Trimester 1
Saturday,Lunch,Chapati with Lauki Kofta & Beetroot Sabzi,North Indian,Veg,Trimester 1
Saturday,Lunch,Grilled Fish with Rice & Carrot Beans Sabzi,North Indian,Non-Veg,Trimester 1
Friday,Breakfast,Banana,North Indian,Veg,Trimester 2
Friday,Breakfast,Kela,North Indian,Veg,Trimester 2
Friday,Breakfast,Carrot Sticks,North Indian,Veg,Trimester 2
Friday,Breakfast,Gajar Sticks,North Indian,Veg,Trimester 2
Friday,Breakfast,Yogurt,North Indian,Veg,Trimester 2
Friday,Breakfast,Dip Dahi,North Indian,Veg,Trimester 2
Friday,Breakfast,Poha,North Indian,Veg,Trimester 2
Friday,Breakfast,Vegetable Upma,North Indian,Veg,Trimester 2
Friday,Breakfast,Strawberries,North Indian,Veg,Trimester 2
Friday,Lunch,Mango Aam,North Indian,Veg,Trimester 2
Friday,Lunch,Panna,North Indian,Veg,Trimester 2
Friday,Lunch,Greengram Dal,North Indian,Veg,Trimester 2
Friday,Lunch,Harimoong Dal,North Indian,Veg,Trimester 2
Friday,Lunch,Sprouts Chaat,North Indian,Veg,Trimester 2
Friday,Lunch,Coconut Water,North Indian,Veg,Trimester 2
Friday,Lunch,Nariyal Pani,North Indian,Veg,Trimester 2
Friday,Lunch,Baked Sweet Potato,North Indian,Veg,Trimester 2
Friday,Lunch,Shakarkandi,North Indian,Veg,Trimester 2
Friday,Lunch,Chaat,North Indian,Veg,Trimester 2
Friday,Lunch,Handful Of Nuts,North Indian,Veg,Trimester 2
Friday,Lunch,Potato Sabzi,North Indian,Veg,Trimester 2
Friday,Lunch,Shakarkhandi,North Indian,Veg,Trimester 2
Friday,Snack,Red Lentil Masoor Dal,North Indian,Veg,Trimester 2
Friday,Snack,Cabbage Pattagobhi Sabzi,North Indian,Veg,Trimester 2
Friday,Snack,Mixed Veg Sabzi,North Indian,Veg,Trimester 2
Friday,Snack,Tomato and Onion Salad,North Indian,Veg,Trimester 2
Friday,Snack,Tamatar Pyaaz Raita,North Indian,Veg,Trimester 2
Friday,Snack,Chapati/Rice,North Indian,Veg,Trimester 2
Friday,Snack,Peas and Cottage Cheese,North Indian,Veg,Trimester 2
Friday,Snack,Cheese and Matar,North Indian,Veg,Trimester 2
Friday,Snack,Paneer Curry,North Indian,Veg,Trimester 2
Friday,Snack,Stuffed Brinjal Bharwa,North Indian,Veg,Trimester 2
Friday,Snack,Baingan Sabzi,North Indian,Veg,Trimester 2
Friday,Snack,Horse Gram Kala Chana,North Indian,Veg,Trimester 2
Friday,Snack,Chana Dal,North Indian,Veg,Trimester 2
Friday,Snack,Fenugreek Potato Sabzi,North Indian,Veg,Trimester 2
Friday,Snack,Methi Aloo Sabzi,North Indian,Veg,Trimester 2
Friday,Snack,Onion Pyaaz Stuffed Paratha,North Indian,Veg,Trimester 2
Friday,Snack,Roti,North Indian,Veg,Trimester 2
Friday,Snack,Mixed Mili Jhuli Dal,North Indian,Veg,Trimester 2
Friday,Snack,Cluster Beans Sabzi,North Indian,Veg,Trimester 2
Friday,Snack,Guar Phali Sabzi,North Indian,Veg,Trimester 2
Friday,Snack,Pineapple Ananas,North Indian,Veg,Trimester 2
Friday,Snack,Raita,North Indian,Veg,Trimester 2
Monday,Breakfast,Custard,North Indian,Veg,Trimester 2
Monday,Breakfast,Apple,North Indian,Veg,Trimester 2
Monday,Breakfast,Sitaphal,North Indian,Veg,Trimester 2
Monday,Breakfast,Guava,North Indian,Veg,Trimester 2
Monday,Breakfast,Amrud,North Indian,Veg,Trimester 2
Monday,Breakfast,Pomegranate,North Indian,Veg,Trimester 2
Monday,Breakfast,Anaar,North Indian,Veg,Trimester 2
Monday,Breakfast,Mixed Fruit Bowl,North Indian,Veg,Trimester 2
Monday,Breakfast,Fruit Chaat,North Indian,Veg,Trimester 2
Monday,Lunch,Strawberry Milkshake,North Indian,Veg,Trimester 2
Monday,Lunch,Mixed Nuts,North Indian,Veg,Trimester 2
Monday,Lunch,Wood Apple,North Indian,Veg,Trimester 2
Monday,Lunch,Bael Sharbat,North Indian,Veg,Trimester 2
Monday,Lunch,Jal Jeera,North Indian,Veg,Trimester 2
Monday,Lunch,Corn Makka Chaat,North Indian,Veg,Trimester 2
Monday,Lunch,Vegetable Chaat,North Indian,Veg,Trimester 2
Monday,Lunch,Lemonade,North Indian,Veg,Trimester 2
Monday,Lunch,Nimbu Pani,North Indian,Veg,Trimester 2
Monday,Lunch,Dhokla,North Indian,Veg,Trimester 2
Monday,Snack,Lamb's Quarter Bathua Sabzi,North Indian,Veg,Trimester 2
Monday,Snack,Bathua Dal,North Indian,Veg,Trimester 2
Monday,Snack,Colocasia Arbi Sabzi,North Indian,Veg,Trimester 2
Monday,Snack,Pearl Millet Bajra Roti,North Indian,Veg,Trimester 2
Monday,Snack,Red Lentil Masoor Dal,North Indian,Veg,Trimester 2
Monday,Snack,Okra Bhindi Sabzi,North Indian,Veg,Trimester 2
Monday,Snack,Cucumber Kheera,North Indian,Veg,Trimester 2
Monday,Snack,Flaxseed Kheera Alsi Raita,North Indian,Veg,Trimester 2
Monday,Snack,Raita,North Indian,Veg,Trimester 2
Monday,Snack,Chapati/Rice,North Indian,Veg,Trimester 2
Monday,Snack,Kadhi,North Indian,Veg,Trimester 2
Monday,Snack,Mint Potato Pudina Sabzi,North Indian,Veg,Trimester 2
Monday,Snack,Aloo Sabzi,North Indian,Veg,Trimester 2
Monday,Snack,Rice,North Indian,Veg,Trimester 2
Monday,Snack,Soya Curry,North Indian,Veg,Trimester 2
Monday,Snack,Cottage Cheese Paneer,North Indian,Veg,Trimester 2
Monday,Snack,Capsicum Paneer,North Indian,Veg,Trimester 2
Monday,Snack,Shimla Mirch Sabzi,North Indian,Veg,Trimester 2
Monday,Snack,Flaxseed Alsi Roti,North Indian,Veg,Trimester 2
Saturday,Breakfast,Vegetable Sandwich,North Indian,Veg,Trimester 2
Saturday,Breakfast,Fruit Bowl,North Indian,Veg,Trimester 2
Saturday,Breakfast,Smoothie,North Indian,Veg,Trimester 2
Saturday,Breakfast,Cherry,North Indian,Veg,Trimester 2
Saturday,Breakfast,Custard Apple,North Indian,Veg,Trimester 2
Saturday,Breakfast,Sitaphal,North Indian,Veg,Trimester 2
Saturday,Dinner,Egg Curry,North Indian,Non-Veg,Trimester 2
Saturday,Dinner,Sesame Potato Til Sabzi,North Indian,Veg,Trimester 2
Saturday,Dinner,Aloo Sabzi,North Indian,Veg,Trimester 2
Saturday,Dinner,Rice,North Indian,Veg,Trimester 2
Saturday,Dinner,Black Gram Urad Dal,North Indian,Veg,Trimester 2
Saturday,Dinner,Spinach and Potato Sabzi,North Indian,Veg,Trimester 2
Saturday,Dinner,Palak Aloo Sabzi,North Indian,Veg,Trimester 2
Saturday,Dinner,Curd Dahi,North Indian,Veg,Trimester 2
Saturday,Dinner,Onion Pyaaz Stuffed Paratha,North Indian,Veg,Trimester 2
Saturday,Dinner,Roti,North Indian,Veg,Trimester 2
Saturday,Dinner,Minced Meat,North Indian,Non-Veg,Trimester 2
Saturday,Dinner,Tomato Keema,North Indian,Veg,Trimester 2
Saturday,Dinner,Tamatar Sabzi,North Indian,Veg,Trimester 2
Saturday,Dinner,Beetroot Chukandar Sabzi,North Indian,Veg,Trimester 2
Saturday,Dinner,Mixed Sabzi,North Indian,Veg,Trimester 2
Saturday,Dinner,Chapati/Rice,North Indian,Veg,Trimester 2
Saturday,Dinner,Tandoori Chicken,North Indian,Non-Veg,Trimester 2
Saturday,Dinner,Cottage Cheese Paneer,North Indian,Veg,Trimester 2
Saturday,Dinner,Capsicum Paneer,North Indian,Veg,Trimester 2
Saturday,Dinner,Shimla Mirch Sabzi,North Indian,Veg,Trimester 2
Saturday,Dinner,Cucumber Kheera,North Indian,Veg,Trimester 2
Saturday,Dinner,Raita,North Indian,Veg,Trimester 2
Saturday,Dinner,Chicken Curry,North Indian,Non-Veg,Trimester 2
Saturday,Dinner,Chapati/Parantha,North Indian,Veg,Trimester 2
Saturday,Dinner,Dum Aloo,North Indian,Veg,Trimester 2
Saturday,Dinner,Beans Sabzi,North Indian,Veg,Trimester 2
Saturday,Snack,Jaljeera,North Indian,Veg,Trimester 2
Saturday,Snack,Sesame Til,North Indian,Veg,Trimester 2
Saturday,Snack,Ladoo,North Indian,Veg,Trimester 2
Saturday,Snack,Tea,North Indian,Veg,Trimester 2
Saturday,Snack,Chickpeas,North Indian,Veg,Trimester 2
Saturday,Snack,Chhole Chaat,North Indian,Veg,Trimester 2
Saturday,Snack,Rose Milk,North Indian,Veg,Trimester 2
Saturday,Breakfast,Semolina Suji,North Indian,Veg,Trimester 2
Saturday,Snack,Rusk,North Indian,Veg,Trimester 2
Saturday,Snack,Almond,North Indian,Veg,Trimester 2
Saturday,Breakfast,Badaam Milk,North Indian,Veg,Trimester 2
Saturday,Snack,Steamed Corn,North Indian,Veg,Trimester 2
Saturday,Snack,Makka,North Indian,Veg,Trimester 2
Saturday,Lunch,Soya Curry,North Indian,Veg,Trimester 2
Saturday,Lunch,Ridge Gourd Tori Sabzi,North Indian,Veg,Trimester 2
Saturday,Snack,Pomegranate Anaar,North Indian,Veg,Trimester 2
Saturday,Lunch,Raita,North Indian,Veg,Trimester 2
Saturday,Lunch,Chapati/Rice,North Indian,Veg,Trimester 2
Saturday,Lunch,Chicken Biryani,North Indian,Non-Veg,Trimester 2
Saturday,Snack,Cucumber Spring,North Indian,Veg,Trimester 2
Saturday,Snack,Onion Kheera Hari,North Indian,Veg,Trimester 2
Saturday,Lunch,Pyaaz Raita,North Indian,Veg,Trimester 2
Saturday,Snack,Mint Pudina Chutney,North Indian,Veg,Trimester 2
Saturday,Lunch,Soya and Pea Soya,North Indian,Veg,Trimester 2
Saturday,Lunch,Matar Curry,North Indian,Veg,Trimester 2
Saturday,Lunch,Pumpkin Kaddu,North Indian,Veg,Trimester 2
Saturday,Lunch,Sabzi,North Indian,Veg,Trimester 2
Saturday,Lunch,Fenugreek Methi,North Indian,Veg,Trimester 2
Saturday,Lunch,Chicken,North Indian,Non-Veg,Trimester 2
Saturday,Snack,Tomato Carrot And,North Indian,Veg,Trimester 2
Saturday,Snack,Onion Tamatar Gajar,North Indian,Veg,Trimester 2
Saturday,Snack,Pyaaz Salad,North Indian,Veg,Trimester 2
Thursday,Breakfast,Apple Seb,North Indian,Veg,Trimester 2
Thursday,Breakfast,Watermelon,North Indian,Veg,Trimester 2
Thursday,Breakfast,Tarbooj,North Indian,Veg,Trimester 2
Thursday,Snack,Sattu Drink,North Indian,Veg,Trimester 2
Thursday,Snack,Tomato,North Indian,Veg,Trimester 2
Thursday,Snack,Tamatar Juice,North Indian,Veg,Trimester 2
Thursday,Snack,Cucumber,North Indian,Veg,Trimester 2
Thursday,Snack,Kheera Sticks,North Indian,Veg,Trimester 2
Thursday,Snack,Lassi,North Indian,Veg,Trimester 2
Thursday,Breakfast,Dhokla,North Indian,Veg,Trimester 2
Thursday,Snack,Jaljeera,North Indian,Veg,Trimester 2
Thursday,Breakfast,Flattened Rice,North Indian,Veg,Trimester 2
Thursday,Breakfast,Poha With,North Indian,Veg,Trimester 2
Thursday,Lunch,Peas Matar,North Indian,Veg,Trimester 2
Thursday,Lunch,Bottle Gourd Lauki,North Indian,Veg,Trimester 2
Thursday,Lunch,Kofta Curry,North Indian,Veg,Trimester 2
Thursday,Lunch,Cauliflower And Potato,North Indian,Veg,Trimester 2
Thursday,Lunch,Gobhi Aloo Sabzi,North Indian,Veg,Trimester 2
Thursday,Lunch,Chapati/Rice,North Indian,Veg,Trimester 2
Thursday,Lunch,Kidney Beans Rajma,North Indian,Veg,Trimester 2
Thursday,Lunch,Curry,North Indian,Veg,Trimester 2
Thursday,Lunch,Beans and Carrot,North Indian,Veg,Trimester 2
Thursday,Lunch,Beens Gajar Sabzi,North Indian,Veg,Trimester 2
Thursday,Snack,Curd Dahi,North Indian,Veg,Trimester 2
Thursday,Lunch,Cumin Jeera Rice,North Indian,Veg,Trimester 2
Thursday,Lunch,Vegetable Biryani,North Indian,Veg,Trimester 2
Thursday,Snack,Onion Tomato Pyaaz,North Indian,Veg,Trimester 2
Thursday,Lunch,Tamatar Raita,North Indian,Veg,Trimester 2
Thursday,Snack,Roasted Papad,North Indian,Veg,Trimester 2
Thursday,Lunch,Red Lentil Masoor,North Indian,Veg,Trimester 2
Thursday,Lunch,Dal,North Indian,Veg,Trimester 2
Thursday,Lunch,Cabbage Peas Patta,North Indian,Veg,Trimester 2
Thursday,Lunch,Gobhi Matar Sabzi,North Indian,Veg,Trimester 2
Thursday,Breakfast,Buckwheat Kuttu,North Indian,Veg,Trimester 2
Thursday,Breakfast,Chapati,North Indian,Veg,Trimester 2
Tuesday,Breakfast,Grapes,North Indian,Veg,Trimester 2
Tuesday,Breakfast,Angoor,North Indian,Veg,Trimester 2
Tuesday,Breakfast,Pomegranate,North Indian,Veg,Trimester 2
Tuesday,Breakfast,Anaar,North Indian,Veg,Trimester 2
Tuesday,Breakfast,Guava,North Indian,Veg,Trimester 2
Tuesday,Breakfast,Amrud,North Indian,Veg,Trimester 2
Tuesday,Snack,Lemonade,North Indian,Veg,Trimester 2
Tuesday,Snack,Nimbu Pani,North Indian,Veg,Trimester 2
Tuesday,Snack,Chickpeas,North Indian,Veg,Trimester 2
Tuesday,Snack,Chhole Chaat,North Indian,Veg,Trimester 2
Tuesday,Snack,Handful Of Nuts,North Indian,Veg,Trimester 2
Tuesday,Snack,Tomato Carrot,North Indian,Veg,Trimester 2
Tuesday,Snack,Tamatar Gajar,North Indian,Veg,Trimester 2
Tuesday,Snack,Juice,North Indian,Veg,Trimester 2
Tuesday,Snack,Bhelpuri,North Indian,Veg,Trimester 2
Tuesday,Snack,Lassi,North Indian,Veg,Trimester 2
Tuesday,Snack,Mixed Nuts With,North Indian,Veg,Trimester 2
Tuesday,Snack,Raisins,North Indian,Veg,Trimester 2
Tuesday,Snack,Kishmish,North Indian,Veg,Trimester 2
Tuesday,Lunch,Mustard Sarson Fish,North Indian,Non-Veg,Trimester 2
Tuesday,Lunch,Curry,North Indian,Veg,Trimester 2
Tuesday,Lunch,Okra Bhindi Sabzi,North Indian,Veg,Trimester 2
Tuesday,Lunch,Rice,North Indian,Veg,Trimester 2
Tuesday,Lunch,Chickpea Chhole,North Indian,Veg,Trimester 2
Tuesday,Lunch,Fenugreek Methi,North Indian,Veg,Trimester 2
Tuesday,Lunch,Kulcha,North Indian,Veg,Trimester 2
Tuesday,Lunch,Raita,North Indian,Veg,Trimester 2
Tuesday,Lunch,Red Lentil Masoor,North Indian,Veg,Trimester 2
Tuesday,Lunch,Dal,North Indian,Veg,Trimester 2
Tuesday,Lunch,Round Gourd Tinda,North Indian,Veg,Trimester 2
Tuesday,Lunch,Sabzi,North Indian,Veg,Trimester 2
Tuesday,Lunch,Onion Pyaaz Raita,North Indian,Veg,Trimester 2
Tuesday,Lunch,Chapati/Rice,North Indian,Veg,Trimester 2
Tuesday,Lunch,Spinach and Corn,North Indian,Veg,Trimester 2
Tuesday,Lunch,Paalak Makka Saag,North Indian,Veg,Trimester 2
Tuesday,Snack,Beetroot Chukandar,North Indian,Veg,Trimester 2
Tuesday,Snack,Salad,North Indian,Veg,Trimester 2
Wednesday,Breakfast,Watermelon,North Indian,Veg,Trimester 2
Wednesday,Breakfast,Tarbooj,North Indian,Veg,Trimester 2
Wednesday,Breakfast,Apple Seb,North Indian,Veg,Trimester 2
Wednesday,Breakfast,Pineapple,North Indian,Veg,Trimester 2
Wednesday,Breakfast,Ananas,North Indian,Veg,Trimester 2
Wednesday,Snack,Lassi,North Indian,Veg,Trimester 2
Wednesday,Snack,Puffed Rice,North Indian,Veg,Trimester 2
Wednesday,Snack,Murmura With,North Indian,Veg,Trimester 2
Wednesday,Snack,Peanuts,North Indian,Veg,Trimester 2
Wednesday,Snack,Moongphali,North Indian,Veg,Trimester 2
Wednesday,Snack,Orange,North Indian,Veg,Trimester 2
Wednesday,Snack,Santara Juice,North Indian,Veg,Trimester 2
Wednesday,Snack,Cheese With,North Indian,Veg,Trimester 2
Wednesday,Snack,Crackers,North Indian,Veg,Trimester 2
Wednesday,Snack,Lemonade,North Indian,Veg,Trimester 2
Wednesday,Snack,Nimbu Pani,North Indian,Veg,Trimester 2
Wednesday,Snack,Revri,North Indian,Veg,Trimester 2
Wednesday,Snack,Carrot Gajar,North Indian,Veg,Trimester 2
Wednesday,Snack,Juice,North Indian,Veg,Trimester 2
Wednesday,Snack,Murmura,North Indian,Veg,Trimester 2
Wednesday,Lunch,Peas and Foxnut Matar,North Indian,Veg,Trimester 2
Wednesday,Lunch,Makhana Gravy,North Indian,Veg,Trimester 2
Wednesday,Lunch,Bitter Gourd Karela,North Indian,Veg,Trimester 2
