Day,Meal Type,Food,Regional Type,Food Type,Trimester
Wednesday,Dinner,Steamed Rice with Egg Curry & Bottle Gourd Stir Fry,South Indian,Non-Veg,Trimester 1
Thursday,Dinner,Idiyappam with Coconut Milk & Vegetable Stew,South Indian,Veg,Trimester 1
Thursday,Dinner,Chapati with Soya Chunk Masala & Pumpkin Stir Fry,South Indian,Veg,Trimester 1
Thursday,Dinner,Steamed Rice with Chicken Rasam & Carrot Cabbage Poriyal,South Indian,Non-Veg,Trimester 1
Friday,Dinner,Vegetable Semiya Upma with Peanut Chutney,South Indian,Veg,Trimester 1
Friday,Dinner,Chapati with Paneer Methi Masala & Ladies Finger Poriyal,South Indian,Veg,Trimester 1
Friday,Dinner,Steamed Rice with Fish Pepper Curry & Spinach Thoran,South Indian,Non-Veg,Trimester 1
Sunday,Dinner,Steamed Rice,South Indian,Veg,Trimester 1
Sunday,Dinner,Vegetable Sambar,South Indian,Veg,Trimester 1
Sunday,Dinner,Drumstick & Shallot Poriyal,South Indian,Veg,Trimester 1
Saturday,Dinner,Cabbage & Peas Poriyal,South Indian,Veg,Trimester 1
Saturday,Dinner,Curd,South Indian,Veg,Trimester 1
Saturday,Dinner,Chapati with Bottle Gourd Curry,South Indian,Veg,Trimester 1
Saturday,Dinner,Tomato Egg Curry (small portion),South Indian,Non-Veg,Trimester 1
Saturday,Dinner,Minced Meat Curry (small portion),South Indian,Non-Veg,Trimester 1
Saturday,Dinner,Mutton Leg Soup (small portion),South Indian,Non-Veg,Trimester 1
Saturday,Dinner,Vegetable Biryani,South Indian,Veg,Trimester 1
Saturday,Dinner,Radish Sambhar,South Indian,Veg,Trimester 1
Saturday,Dinner,Mixed Vegetable Palya (Poriyal),South Indian,Veg,Trimester 1
Saturday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Saturday,Lunch,Vegetable Sambar,South Indian,Veg,Trimester 1
Saturday,Lunch,Drumstick & Beans Poriyal,South Indian,Veg,Trimester 1
Saturday,Lunch,Carrot & Peas Poriyal,South Indian,Veg,Trimester 1
Saturday,Lunch,Curd,South Indian,Veg,Trimester 1
Saturday,Lunch,Chapati with Bottle Gourd Curry,South Indian,Veg,Trimester 1
Saturday,Lunch,Tomato Egg Curry (small portion),South Indian,Non-Veg,Trimester 1
Saturday,Lunch,Pepper Chicken (small portion),South Indian,Non-Veg,Trimester 1
Sunday,Snack,Boiled Sprouts Salad,South Indian,Veg,Trimester 1
Sunday,Snack,Punugulu,South Indian,Veg,Trimester 1
Sunday,Snack,Vegetable Upma,South Indian,Veg,Trimester 1
Saturday,Snack,Buttermilk,South Indian,Veg,Trimester 1
Saturday,Snack,Payasam,South Indian,Veg,Trimester 1
Saturday,Snack,Small Idli with Coconut Chutney,South Indian,Veg,Trimester 1
Saturday,Snack,Chicken Pakoda,South Indian,Non-Veg,Trimester 1
Saturday,Snack,Salads,South Indian,Non-Veg,Trimester 1
Saturday,Snack,Murmur,South Indian,Veg,Trimester 1
Saturday,Snack,Chips,South Indian,Veg,Trimester 1
Saturday,Snack,Muri Mixture,South Indian,Veg,Trimester 1
Saturday,Snack,Onion Pakoda,South Indian,Veg,Trimester 1
Thursday,Breakfast,Idli with Sambar,South Indian,Veg,Trimester 1
Thursday,Breakfast,Dosa with Coconut Chutney,South Indian,Veg,Trimester 1
Thursday,Breakfast,Ragi Porridge,South Indian,Veg,Trimester 1
Thursday,Breakfast,Vegetable Upma,South Indian,Veg,Trimester 1
Thursday,Breakfast,Boiled Egg (optional),South Indian,Non-Veg,Trimester 1
Thursday,Breakfast,Fruit Bowl with Papaya & Pomegranate,South Indian,Veg,Trimester 1
Thursday,Breakfast,Handful of Walnuts & Raisins,South Indian,Veg,Trimester 1
Thursday,Lunch,Steamed Rice,South Indian,Veg,Trimester 1
Thursday,Lunch,Fried Rice,South Indian,Veg,Trimester 1
Thursday,Lunch,Drumstick & Carrot Poriyal,South Indian,Veg,Trimester 1
Thursday,Lunch,Fish Curry,South Indian,Non-Veg,Trimester 1
Thursday,Lunch,chicken Biryani,South Indian,Non-Veg,Trimester 1
Thursday,Lunch,Biryani,South Indian,Veg,Trimester 1
Thursday,Lunch,Rasam (small portion),South Indian,Veg,Trimester 1
Thursday,Lunch,Garlic chilli chicken,South Indian,Non-Veg,Trimester 1
Thursday,Snack,Idli (mini),South Indian,Veg,Trimester 1
Thursday,Snack,Dhokla (steamed),South Indian,Veg,Trimester 1
Thursday,Snack,Upma,South Indian,Veg,Trimester 1
Thursday,Snack,Poha,South Indian,Veg,Trimester 1
Thursday,Snack,Sundal (boiled chickpeas/beans),South Indian,Veg,Trimester 1
Thursday,Snack,Vegetable sandwich (South Indian style),South Indian,Veg,Trimester 1
Thursday,Snack,Rava Kesari (small portion),South Indian,Veg,Trimester 1
Thursday,Snack,Banana or seasonal fruit,South Indian,Veg,Trimester 1
Thursday,Snack,Curd rice (small bowl),South Indian,Veg,Trimester 1
Thursday,Snack,Steamed corn or corn chaat,South Indian,Veg,Trimester 1
Thursday,Snack,Murukku (baked or light),South Indian,Veg,Trimester 1
Thursday,Snack,Mini vegetable dosa,South Indian,Veg,Trimester 1
Thursday,Snack,Idiyappam (steamed string hoppers),South Indian,Veg,Trimester 1
Thursday,Snack,Vegetable uthappam (small),South Indian,Veg,Trimester 1
Thursday,Snack,Peanut chikki (small piece),South Indian,Veg,Trimester 1
Tuesday,Breakfast,Curd Vada,South Indian,Veg,Trimester 1
Tuesday,Breakfast,Mysore Bajji,South Indian,Veg,Trimester 1
Tuesday,Lunch,Sambar with rice,South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable kurma with chapati,South Indian,Veg,Trimester 1
Tuesday,Lunch,Curd rice with carrot and cucumber,South Indian,Veg,Trimester 1
Tuesday,Lunch,Lemon rice with steamed beans,South Indian,Veg,Trimester 1
Tuesday,Lunch,Tomato rasam with rice,South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable upma with chutney,South Indian,Veg,Trimester 1
Tuesday,Lunch,Mixed vegetable poriyal with chapati,South Indian,Veg,Trimester 1
Tuesday,Lunch,Puliyodarai (tamarind rice) with spinach curry,South Indian,Veg,Trimester 1
Tuesday,Lunch,Curd rice with mint leaves,South Indian,Veg,Trimester 1
Tuesday,Lunch,Rice with bottle gourd curry,South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable stew with appam,South Indian,Veg,Trimester 1
Tuesday,Lunch,Sambar with dosa,South Indian,Veg,Trimester 1
Tuesday,Lunch,Tomato dal with rice,South Indian,Veg,Trimester 1
Tuesday,Lunch,Vegetable uthappam with coconut chutney,South Indian,Veg,Trimester 1
Tuesday,Lunch,Mixed lentil curry with rice,South Indian,Veg,Trimester 1
Tuesday,Lunch,Spinach dal with chapati,South Indian,Veg,Trimester 1
Tuesday,Snack,Ragi malt (small glass),South Indian,Veg,Trimester 1
Tuesday,Snack,Vegetable steamed dhokla,South Indian,Veg,Trimester 1
Tuesday,Snack,Mini rava idli with coconut chutney,South Indian,Veg,Trimester 1
Tuesday,Snack,Bhel with puffed rice and veggies,South Indian,Veg,Trimester 1
Tuesday,Snack,Sweet corn chaat,South Indian,Veg,Trimester 1
Tuesday,Snack,Carrot and cucumber sticks with yogurt dip,South Indian,Veg,Trimester 1
Tuesday,Snack,Mini methi paratha (light),South Indian,Veg,Trimester 1
Tuesday,Snack,Green gram sundal with coconut,South Indian,Veg,Trimester 1
Tuesday,Snack,Rava upma cups (small),South Indian,Veg,Trimester 1
Tuesday,Snack,Steamed beetroot and carrot cubes,South Indian,Veg,Trimester 1
Tuesday,Snack,Banana oat pancakes (mini),South Indian,Veg,Trimester 1
Tuesday,Snack,Ragi or wheat sevai (light),South Indian,Veg,Trimester 1
Tuesday,Snack,Mini vegetable handvo,South Indian,Veg,Trimester 1
Tuesday,Snack,Roasted peanuts with curry leaves,South Indian,Veg,Trimester 1
Tuesday,Snack,Mango or papaya slices,South Indian,Veg,Trimester 1
Tuesday,Snack,Vegetable appam (mini),South Indian,Veg,Trimester 1
Tuesday,Snack,Steamed ridge gourd cubes,South Indian,Veg,Trimester 1
Tuesday,Snack,Ragi or millets ladoo (small piece),South Indian,Veg,Trimester 1
Tuesday,Snack,Tomato and coriander mini salad,South Indian,Veg,Trimester 1
Tuesday,Snack,Sweet potato and carrot mash,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Idli with coconut chutney,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Mini rava dosa with sambar,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Upma with vegetables,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Vegetable uthappam with coconut chutney,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Idiyappam (steamed string hoppers) with milk,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Rava kesari (small portion) with a banana,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Vegetable semiya (vermicelli) upma,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Mini dosa with tomato chutney,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Ragi dosa with coconut chutney,South Indian,Veg,Trimester 1
Wednesday,Breakfast,Besan chilla with coriander chutney,South Indian,Veg,Trimester 1
Wednesday,Lunch,Sambar with rice,South Indian,Veg,Trimester 1
Wednesday,Lunch,Curd rice with grated carrot,South Indian,Veg,Trimester 1
Wednesday,Lunch,Lemon rice with steamed beans,South Indian,Veg,Trimester 1
Wednesday,Lunch,Vegetable kurma with chapati,South Indian,Veg,Trimester 1
Wednesday,Lunch,Tomato rasam with rice,South Indian,Veg,Trimester 1
Wednesday,Lunch,Mixed vegetable poriyal with chapati,South Indian,Veg,Trimester 1
Wednesday,Lunch,Spinach dal with rice,South Indian,Veg,Trimester 1
Wednesday,Lunch,Puliyodarai (tamarind rice) with ridge gourd curry,South Indian,Veg,Trimester 1
Wednesday,Lunch,Vegetable stew with appam,South Indian,Veg,Trimester 1
Wednesday,Lunch,Vegetable uthappam with coconut chutney,South Indian,Veg,Trimester 1
Wednesday,Snack,Mini idli,South Indian,Veg,Trimester 1
Wednesday,Snack,Upma with vegetables,South Indian,Veg,Trimester 1
Wednesday,Snack,Poha with peas and carrot,South Indian,Veg,Trimester 1
Wednesday,Snack,Sundal (boiled chickpeas or green gram),South Indian,Veg,Trimester 1
Wednesday,Snack,Kosambari (moong dal and cucumber salad),South Indian,Veg,Trimester 1
Wednesday,Snack,Steamed corn with a pinch of salt,South Indian,Veg,Trimester 1
Wednesday,Snack,Vegetable sandwich (small),South Indian,Veg,Trimester 1
Wednesday,Snack,Rava kesari (small portion),South Indian,Veg,Trimester 1
Wednesday,Snack,Banana or seasonal fruit,South Indian,Veg,Trimester 1
Wednesday,Snack,Curd (small bowl),South Indian,Veg,Trimester 1
Wednesday,Snack,Murukku (light or baked),South Indian,Veg,Trimester 1
Wednesday,Snack,Mini vegetable dosa,South Indian,Veg,Trimester 1
Wednesday,Snack,Idiyappam (steamed string hoppers),South Indian,Veg,Trimester 1
Wednesday,Snack,Vegetable uthappam (small),South Indian,Veg,Trimester 1
Wednesday,Snack,Peanut chikki (small piece),South Indian,Veg,Trimester 1
Wednesday,Snack,Sweet potato cubes (steamed),South Indian,Veg,Trimester 1
Wednesday,Snack,Roasted makhana (fox nuts),South Indian,Veg,Trimester 1
Wednesday,Snack,Carrot and cucumber sticks with mild yogurt dip,South Indian,Veg,Trimester 1
Wednesday,Snack,Mixed vegetable salad (light),South Indian,Veg,Trimester 1
Wednesday,Snack,Boiled lentils with mild seasoning,South Indian,Veg,Trimester 1
Sunday,Breakfast,Ragi idli with coconut chutney,South Indian,Veg,Trimester 2
Sunday,Breakfast,Vegetable upma with roasted peanuts,South Indian,Veg,Trimester 2
Sunday,Breakfast,Masala dosa (mini) with tomato chutney,South Indian,Veg,Trimester 2
Friday,Breakfast,Semolina handvo with coriander chutney,South Indian,Veg,Trimester 2
Friday,Breakfast,Moong dal chilla with mint chutney,South Indian,Veg,Trimester 2
Friday,Breakfast,Rice flour paniyaram with coconut chutney,South Indian,Veg,Trimester 2
Friday,Breakfast,Vegetable sevai (vermicelli) with light seasoning,South Indian,Veg,Trimester 2
Friday,Breakfast,Steamed oats and carrot idli,South Indian,Veg,Trimester 2
Friday,Breakfast,Mixed millet dosa with sambar,South Indian,Veg,Trimester 2
Friday,Breakfast,Mini vegetable uthappam with chutney,South Indian,Veg,Trimester 2
Sunday,Lunch,Ridge gourd dal with rice,South Indian,Veg,Trimester 2
Sunday,Lunch,Vegetable puliyodarai (tamarind rice),South Indian,Veg,Trimester 2
Sunday,Lunch,Sambar with foxtail millet,South Indian,Veg,Trimester 2
Friday,Lunch,Cabbage poriyal with chapati,South Indian,Veg,Trimester 2
Friday,Lunch,Tomato dal with rice,South Indian,Veg,Trimester 2
Friday,Lunch,Vegetable kurma with millet roti,South Indian,Veg,Trimester 2
Friday,Lunch,Spinach and carrot dal with rice,South Indian,Veg,Trimester 2
Friday,Lunch,Vegetable stew with appam (different veggies),South Indian,Veg,Trimester 2
Friday,Lunch,Prawns,South Indian,Non-Veg,Trimester 2
Friday,Lunch,Mutton Curry,South Indian,Non-Veg,Trimester 2
Sunday,Snack,Mini ragi idli,South Indian,Veg,Trimester 2
Sunday,Snack,Vegetable upma (small),South Indian,Veg,Trimester 2
Sunday,Snack,Sundal (green gram or chickpeas),South Indian,Veg,Trimester 2
Friday,Snack,Steamed corn with a pinch of salt,South Indian,Veg,Trimester 2
Friday,Snack,Vegetable uthappam (small),South Indian,Veg,Trimester 2
Friday,Snack,Mini dosa with tomato chutney,South Indian,Veg,Trimester 2
Friday,Snack,Rava kesari (small portion),South Indian,Veg,Trimester 2
Friday,Snack,Banana or seasonal fruit,South Indian,Veg,Trimester 2
Friday,Snack,Roasted makhana (fox nuts),South Indian,Veg,Trimester 2
Friday,Snack,Peanut chikki (small piece),South Indian,Veg,Trimester 2
Friday,Snack,Vegetable semiya (vermicelli) upma (small),South Indian,Veg,Trimester 2
Friday,Snack,Mixed vegetable salad (light),South Indian,Veg,Trimester 2
Friday,Snack,Carrot and cucumber sticks with yogurt dip,South Indian,Veg,Trimester 2
Friday,Snack,Sweet potato cubes (steamed),South Indian,Veg,Trimester 2
Friday,Snack,Ragi or millet ladoo (small piece),South Indian,Veg,Trimester 2
Friday,Snack,Mini idli with mint chutney,South Indian,Veg,Trimester 2
Friday,Snack,Steamed ridge gourd cubes,South Indian,Veg,Trimester 2
Friday,Snack,Roasted peanuts with curry leaves,South Indian,Veg,Trimester 2
Friday,Snack,Vegetable handvo (mini),South Indian,Veg,Trimester 2
Friday,Snack,Besan chilla (small) with coriander chutney,South Indian,Veg,Trimester 2
Monday,Breakfast,Mini idli with coconut chutney,South Indian,Veg,Trimester 2
Monday,Breakfast,Vegetable upma with roasted peanuts,South Indian,Veg,Trimester 2
Monday,Breakfast,Rava dosa with tomato chutney,South Indian,Veg,Trimester 2
Monday,Breakfast,Vegetable uthappam with coconut chutney,South Indian,Veg,Trimester 2
Monday,Breakfast,Idiyappam (steamed string hoppers) with milk,South Indian,Veg,Trimester 2
Monday,Breakfast,Ragi dosa with coconut chutney,South Indian,Veg,Trimester 2
Monday,Breakfast,Vegetable semiya upma (small),South Indian,Veg,Trimester 2
Monday,Breakfast,Mixed millet handvo with coriander chutney,South Indian,Veg,Trimester 2
Monday,Breakfast,Moong dal chilla with mint chutney,South Indian,Veg,Trimester 2
Monday,Breakfast,Steamed oats and carrot idli,South Indian,Veg,Trimester 2
Monday,Lunch,Sambar with rice and ridge gourd,South Indian,Veg,Trimester 2
Monday,Lunch,Curd rice with grated carrot and pomegranate,South Indian,Veg,Trimester 2
Monday,Lunch,Lemon rice with steamed beans,South Indian,Veg,Trimester 2
Monday,Lunch,Vegetable kurma with chapati,South Indian,Veg,Trimester 2
Monday,Lunch,Tomato rasam with rice and spinach poriyal,South Indian,Veg,Trimester 2
Monday,Lunch,Mixed vegetable poriyal with millet roti,South Indian,Veg,Trimester 2
Monday,Lunch,Spinach dal with rice,South Indian,Veg,Trimester 2
Monday,Lunch,Puliyodarai (tamarind rice) with ridge gourd curry,South Indian,Veg,Trimester 2
Monday,Lunch,Vegetable stew with appam,South Indian,Veg,Trimester 2
Sunday,Lunch,Chicken curry (mild) with rice,South Indian,Non-Veg,Trimester 2
Sunday,Lunch,Fish moilee with steamed rice,South Indian,Non-Veg,Trimester 2
Sunday,Lunch,Mixed dal tadka with chapati and carrot poriyal,South Indian,Veg,Trimester 2
Monday,Lunch,Pumpkin sambar with rice,South Indian,Veg,Trimester 2
Monday,Lunch,Vegetable uthappam (medium) with coconut chutney,South Indian,Veg,Trimester 2
Monday,Lunch,Mixed millet vegetable pulao,South Indian,Veg,Trimester 2
Monday,Lunch,Paneer curry with chapati,South Indian,Veg,Trimester 2
Monday,Lunch,Moong dal tadka with steamed rice,South Indian,Veg,Trimester 2
Monday,Lunch,Mixed vegetable handvo (mini) with chutney,South Indian,Veg,Trimester 2
Monday,Lunch,Chicken sukka (dry) with chapati,South Indian,Non-Veg,Trimester 2
Monday,Lunch,Vegetable semiya upma (light) with raita,South Indian,Veg,Trimester 2
Monday,Snack,Mini idli with coconut chutney,South Indian,Veg,Trimester 2
Monday,Snack,Vegetable upma (small portion),South Indian,Veg,Trimester 2
Monday,Snack,Sundal (boiled chickpeas or green gram),South Indian,Veg,Trimester 2
Monday,Snack,Steamed corn with a pinch of salt,South Indian,Veg,Trimester 2
Monday,Snack,Vegetable uthappam (small),South Indian,Veg,Trimester 2
Monday,Snack,Rava kesari (small portion),South Indian,Veg,Trimester 2
Monday,Snack,Banana or seasonal fruit,South Indian,Veg,Trimester 2
Monday,Snack,Roasted makhana (fox nuts),South Indian,Veg,Trimester 2
Monday,Snack,Peanut chikki (small piece),South Indian,Veg,Trimester 2
Monday,Snack,Vegetable semiya (vermicelli) upma (small),South Indian,Veg,Trimester 2
Monday,Snack,Carrot and cucumber sticks with mild yogurt dip,South Indian,Veg,Trimester 2
Monday,Snack,Sweet potato cubes (steamed),South Indian,Veg,Trimester 2
Monday,Snack,Mini vegetable dosa with chutney,South Indian,Veg,Trimester 2
Monday,Snack,Ragi ladoo (small piece),South Indian,Veg,Trimester 2
Monday,Snack,Mini handvo with coriander chutney,South Indian,Veg,Trimester 2
Monday,Snack,Boiled lentils with mild seasoning,South Indian,Veg,Trimester 2
Monday,Snack,Vegetable sandwich (small),South Indian,Veg,Trimester 2
Monday,Snack,Idiyappam (small portion) with coconut milk,South Indian,Veg,Trimester 2
Monday,Snack,Steamed ridge gourd cubes,South Indian,Veg,Trimester 2
Monday,Snack,Mixed vegetable salad (light),South Indian,Veg,Trimester 2
Saturday,Breakfast,Mini ragi idli with coconut chutney,South Indian,Veg,Trimester 2
Saturday,Breakfast,Vegetable upma with roasted peanuts,South Indian,Veg,Trimester 2
Saturday,Breakfast,Rava dosa with tomato chutney,South Indian,Veg,Trimester 2
Saturday,Breakfast,Vegetable uthappam with coconut chutney,South Indian,Veg,Trimester 2
Saturday,Breakfast,Idiyappam (steamed string hoppers) with milk,South Indian,Veg,Trimester 2
Saturday,Breakfast,Steamed oats and carrot idli,South Indian,Veg,Trimester 2
Saturday,Breakfast,Mixed millet handvo with coriander chutney,South Indian,Veg,Trimester 2
Saturday,Breakfast,Moong dal chilla with mint chutney,South Indian,Veg,Trimester 2
Saturday,Breakfast,Vegetable semiya upma (small portion),South Indian,Veg,Trimester 2
Saturday,Breakfast,Ragi dosa with sambar,South Indian,Veg,Trimester 2
Sunday,Dinner,Vegetable Lemon Quinoa with Cucumber Raita,South Indian,Veg,Trimester 2
Sunday,Dinner,Chapati with Ridge Gourd Chana Dal Curry & Beetroot Thoran,South Indian,Veg,Trimester 2
Sunday,Dinner,Steamed Rice with Coconut Fish Curry & Pumpkin Poriyal,South Indian,Non-Veg,Trimester 2
Monday,Dinner,Oats Dosa with Avial (mixed vegetables),South Indian,Veg,Trimester 2
Monday,Dinner,Chapati with Paneer Bhurji & Snake Gourd Stir Fry,South Indian,Veg,Trimester 2
Monday,Dinner,Steamed Rice with Chicken Coconut Stew & Beans Poriyal,South Indian,Non-Veg,Trimester 2
Tuesday,Dinner,Vegetable Thinai (Foxtail Millet) Pongal with Pepper Rasam,South Indian,Veg,Trimester 2
Tuesday,Dinner,Chapati with Black Eyed Peas Curry & Carrot Poriyal,South Indian,Veg,Trimester 2
Tuesday,Dinner,Steamed Rice with Light Egg Masala & Bottle Gourd Thoran,South Indian,Non-Veg,Trimester 2
Wednesday,Dinner,Vegetable Kambu (Pearl Millet) Upma with Coconut Chutney,South Indian,Veg,Trimester 2
Wednesday,Dinner,Chapati with Mixed Sprouts Masala & Cabbage Poriyal,South Indian,Veg,Trimester 2
Wednesday,Dinner,Steamed Rice with Fish Moilee & Ivy Gourd Stir Fry,South Indian,Non-Veg,Trimester 2
Thursday,Dinner,Ragi Sevai with Lemon Coconut Mix,South Indian,Veg,Trimester 2
Thursday,Dinner,Chapati with Soya & Vegetable Keema & Pumpkin Poriyal,South Indian,Veg,Trimester 2
Thursday,Dinner,Steamed Rice with Pepper Chicken Curry & Ash Gourd Poriyal,South Indian,Non-Veg,Trimester 2
Friday,Dinner,Vegetable Barley Khichdi with Mint Raita,South Indian,Veg,Trimester 2
